ProductID,Product Name,Description,Price,Image URL,deep_link
3QVSC01,Siero Contorno Occhi,"Combatti borse, gonfiori ed occhiaie per una pelle luminosa. Grazie alla sua alta percentuale di Acqua di Amamelide libera dalle occhiaie con effetto immediato. L'idratazione è garantita dal binomio Acido Ialuronico/Trealosio. Il top della gamma, senza conservanti!",25,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/ContornoOcchi.webp?v=1703899433,https://www.3querce.com/products/siero-contorno-occhi
3QVSV01,Siero Viso Anti-Age,"È un siero viso dalla texture freschissima ed evanescente. Dona massima idratazione con l'Acido Ialuronico, lenisce e protegge con gli estratti di Mirtillo e Ginkgo Biloba.",32,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/SieroViso.webp?v=1703899435,https://www.3querce.com/products/siero-viso-anti-age
3QVC03,Crema Anti-Age,"È l'antirughe allo stato dell'arte. Si applica la sera, (ma può essere messa anche di giorno in caso di pelli particolarmente secche), e garantisce l'effetto anti-age nel modo più naturale possibile, con una super trilogia di preziosi olii vegetali: Argan, Avocado e Vinaccioli. La pelle viene inoltre tonificata dall'Estratto d'Edera.",35,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/CremaAntiAge.webp?v=1703899437,https://www.3querce.com/products/crema-notte-anti-age
3QCDA01,"DeoAroma ""Artemisia""","Deodorante spray analcolico ed ipoallergenico. Pensato per le pelli più sensibili, assicura un fisiologico effetto antitraspirante e una copertura di 24h. Non secca la pelle e non macchia i tessuti. Prodotto dalle ottime performance anche in caso di attività sportiva o giornate intense ad alto tasso di sudorazione.",13.5,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/DeoAromaArtemisia.webp?v=1703899439,https://www.3querce.com/products/deoaroma-artemisia
3QCDF01,"DeoFresh ""Menta Mediterranea""","Deodorante spray analcolico ed ipoallergenico. Pensato per le pelli più sensibili, assicura un fisiologico effetto antitraspirante e una copertura di 24h. Non secca la pelle e non macchia i tessuti. Prodotto dalle ottime performance anche in caso di attività sportiva o giornate intense ad alto tasso di sudorazione.",13.5,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/DeoFreshMentaMediterranea.webp?v=1703899440,https://www.3querce.com/products/deofresh-menta-mediterranea
3QCS01,Shampoo Avena e Pantenolo,Shampoo dolce e delicato utilizzabile da tutti per detergere rispettosamente i capelli e il cuoio capelluto. L'azione rinvigorente del Pantenolo abbraccia la dolcezza dell'Avena in uno shampoo con poca schiuma e dal facile utilizzo.,9,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/ShampooAvenaPantenolo.webp?v=1703899442,https://www.3querce.com/products/shampoo-avena-e-pantenolo
3QCB01,Balsamo Botanico,"Con una concentrazione eccezionale di attivi vegetali come il Karité, Olio di Girasole, Vinaccioli e Avocado, rende i capelli morbidi, districati e setosi come mai prima! Le cariche positive riducono la carica elettrostatica del capello e la formulazione migliora la chiusura delle squame per capelli splendenti e sani!",10.5,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/BalsamoBotanico.webp?v=1703899443,https://www.3querce.com/products/balsamo-botanico-capelli-ultra-seta
3QCBD01,Bagnodoccia Thè Verde,"Delicata e potente detergenza, perfetto per coloro che cercano un bagno-doccia delicato e rilassante. Gli agenti schiumogeni sono stati ridotti al minimo, mentre grande importanza è stata data agli effetti benefici del Thè Verde, del Pantenolo e dell'Olio di Vinaccioli.",9,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/BagnodocciaTheVerde.webp?v=1703899445,https://www.3querce.com/products/bagnodoccia-the-verde
3QCCPU01,Crema Effetto Push-Up,La migliore amica delle donne. Un blend equilibratissimo di Kigelia Africana e Olio di Avocado sfida sfacciatamente la forza di gravitÃ . Effetto Push-Up immediato.,18,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/CremaPushUp.webp?v=1703899447,https://www.3querce.com/products/crema-effetto-push-up
3QVLD01,Latte detergente,"La soluzione perfetta per una rimozione veloce e fisiologica del trucco, grazie all'Acqua di Amamelide e agli estratti di Ginkgo Biloba e Fiordaliso. Deterge e funge da Tonico per una pelle fresca e luminosa. Indicato anche per la zona perioculare.",12.5,https://cdn.shopify.com/s/files/1/0674/3523/3539/files/LatteDetergente.webp?v=1703899449,https://www.3querce.com/products/latte-detergente
